name,battery,camera,display,processor,memory,warranty,reviews,price,price_range,rating,rating_category
"Samsung Galaxy Note10 Lite (Aura Red, 128 GB)",4500 mAh Lithium-ion Battery,12MP + 12MP + 12MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,Exynos 9810 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,141,39999,High Mid Range,4.4,High Rating
"Samsung Galaxy Note10 Lite (Aura Red, 128 GB)",4500 mAh Lithium-ion Battery,12MP + 12MP + 12MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,Exynos 9810 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,45,37999,High Mid Range,4.4,High Rating
"LG W30 (Thunder Blue, 32 GB)",4000 mAh Battery,12MP + 13MP | 16MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Helio P22 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,108,8399,Low Range,3.9,High Rating
"LG W30 (Aurora Green, 32 GB)",4000 mAh Battery,12MP + 13MP | 16MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Helio P22 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,108,9999,Low Range,3.9,High Rating
"Nokia 8.1 (Blue, 64 GB)",3500 mAh Battery,12MP + 13MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 710 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1372,14999,Low Mid Range,4.3,High Rating
"LG G8X (Black, 128 GB)",4000 mAh Battery,12MP + 13MP | 32MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,Qualcomm Snapdragon™ 855 Octa-core (up to 2.84 GHz x 1 + 2.42 GHz x 3 + 1.79 GHz x 4) Processor,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,2,54990,High Range,4.6,High Rating
"OPPO R17 Pro (Radiant Mist, 128 GB)",3700 mAh Battery,12MP + 20MP | 25MP Front Camera,16.26 cm (6.4 inch) Display,SDM710 Processor,8 GB RAM | 128 GB ROM,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,76,31590,High Mid Range,4.1,High Rating
"OPPO R17 Pro (Emerald Green, 128 GB)",3700 mAh Battery,12MP + 20MP | 25MP Front Camera,16.26 cm (6.4 inch) Display,SDM710 Processor,8 GB RAM | 128 GB ROM,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,76,31590,High Mid Range,4.1,High Rating
"Redmi Note 7 (Ruby Red, 32 GB)",4000 mAh Li-polymer Battery,12MP + 2MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 660 AIE Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Splash Proof - Protected by P2i,14212,9999,Low Range,4.4,High Rating
"Redmi Note 7 (Ruby Red, 64 GB)",4000 mAh Li-polymer Battery,12MP + 2MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 660 AIE Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Splash Proof - Protected by P2i,16498,14290,Low Mid Range,4.5,High Rating
"Redmi Y3 (Prime Black, 32 GB)",4000 mAh Battery,12MP + 2MP | 32MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Qualcomm Snapdragon 632 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1505,8090,Low Range,4.3,High Rating
"Redmi Y3 (Elegant Blue, 32 GB)",4000 mAh Battery,12MP + 2MP | 32MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Qualcomm Snapdragon 632 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1505,8369,Low Range,4.3,High Rating
"Redmi Y3 (Bold Red, 32 GB)",4000 mAh Battery,12MP + 2MP | 32MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Qualcomm Snapdragon 632 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1505,8252,Low Range,4.3,High Rating
"Redmi Y3 (Elegant Blue, 64 GB)",4000 mAh Battery,12MP + 2MP | 32MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Qualcomm Snapdragon 632 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,225,12999,Low Mid Range,4.4,High Rating
"Redmi Y3 (Prime Black, 64 GB)",4000 mAh Battery,12MP + 2MP | 32MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Qualcomm Snapdragon 632 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,225,13999,Low Mid Range,4.4,High Rating
"Redmi Y3 (Bold Red, 64 GB)",4000 mAh Battery,12MP + 2MP | 32MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Qualcomm Snapdragon 632 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,225,10465,Low Mid Range,4.4,High Rating
"Realme C3 (Volcano Grey, 32 GB)",5000 mAh Battery,12MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,5641,8999,Low Range,4.5,High Rating
"Realme C3 (Volcano Grey, 64 GB)",5000 mAh Battery,12MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,8877,9999,Low Range,4.5,High Rating
"Realme C3 (Volcano Grey, 32 GB)",5000 mAh Battery,12MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,5641,8999,Low Range,4.5,High Rating
"Realme C3 (Volcano Grey, 64 GB)",5000 mAh Battery,12MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,8877,9999,Low Range,4.5,High Rating
"Redmi 8 (Sapphire Blue, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,55078,9999,Low Range,4.4,High Rating
"Redmi 8 (Onyx Black, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,55078,9999,Low Range,4.4,High Rating
"Redmi 8 (Emerald Green, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,55078,9999,Low Range,4.4,High Rating
"Redmi 8 (Ruby Red, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,55078,9999,Low Range,4.4,High Rating
"Redmi 8 (Sapphire Blue, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,55078,9999,Low Range,4.4,High Rating
"Redmi 8 (Onyx Black, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,55078,9999,Low Range,4.4,High Rating
"Redmi 8 (Ruby Red, 64 GB)",5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,55078,9999,Low Range,4.4,High Rating
"Realme Narzo 10A (So White, 32 GB)",5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G70 (12 nm) Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3204,8999,Low Range,4.5,High Rating
"Realme Narzo 10A (So Blue, 64 GB)",5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G70 (12 nm) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,2170,9999,Low Range,4.5,High Rating
"Realme Narzo 10A (So White, 64 GB)",5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G70 (12 nm) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,2170,9999,Low Range,4.5,High Rating
"Realme Narzo 10A (So Blue, 32 GB)",5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G70 (12 nm) Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3204,8999,Low Range,4.5,High Rating
"OPPO A31 (Fantasy White, 128 GB)",4230 mAh Battery,12MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,219,14990,Low Mid Range,4.3,High Rating
"OPPO A31 (Fantasy White, 64 GB)",4230 mAh Battery,12MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,840,12490,Low Mid Range,4.3,High Rating
"OPPO A31 (Mystery Black, 64 GB)",4230 mAh Battery,12MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,840,12490,Low Mid Range,4.3,High Rating
"OPPO A31 (Mystery Black, 128 GB)",4230 mAh Battery,12MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,219,14990,Low Mid Range,4.3,High Rating
"Vivo X21 (Black, 128 GB)",3200 mAh Li-ion Battery,12MP + 5MP | 12MP Front Camera,15.95 cm (6.28 inch) Full HD+ Display,Qualcomm Snapdragon 660 AIE Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,294,36990,High Mid Range,4.2,High Rating
"Asus ZenFone Max Pro M2 (Blue, 64 GB)",5000 mAh Battery,12MP + 5MP | 13MP Front Camera,15.9 cm (6.26 inch) Full HD+ Display,Qualcomm Snapdragon 660 Octa Core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,10998,11999,Low Mid Range,4.3,High Rating
"Asus ZenFone Max Pro M2 (Blue, 64 GB)",5000 mAh Battery,12MP + 5MP | 13MP Front Camera,15.9 cm (6.26 inch) Full HD+ Display,Qualcomm Snapdragon 660 Octa Core Processor,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1955,13999,Low Mid Range,4.3,High Rating
"Redmi Y2 (Dark Grey, 64 GB)",3080 mAh Li Polymer Battery,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,Qualcomm Snapdragon 625 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1867,11990,Low Mid Range,4.4,High Rating
"Redmi Y2 (Dark Grey, 32 GB)",3080 mAh Li Polymer Battery,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,Qualcomm Snapdragon 625 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,7978,7999,Low Range,4.5,High Rating
"Redmi Y2 (Blue, 32 GB)",3080 mAh Li Polymer Battery,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,Qualcomm Snapdragon 625 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,7978,10285,Low Mid Range,4.5,High Rating
"Redmi Y2 (Black, 32 GB)",3080 mAh Li Polymer Battery,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,Qualcomm Snapdragon 625 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,7978,10390,Low Mid Range,4.5,High Rating
"Redmi Y2 (Blue, 64 GB)",3080 mAh Li Polymer Battery,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,Qualcomm Snapdragon 625 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1867,8499,Low Range,4.4,High Rating
"Redmi Y2 (Rose Gold, 64 GB)",3080 mAh Li Polymer Battery,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,Qualcomm Snapdragon 625 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1867,8499,Low Range,4.4,High Rating
"Redmi Note 6 Pro (Blue, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,Qualcomm Snapdragon 636 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,10831,11999,Low Mid Range,4.5,High Rating
"Redmi Note 6 Pro (Black, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,Qualcomm Snapdragon 636 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,53615,12987,Low Mid Range,4.5,High Rating
"Redmi Note 6 Pro (Red, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,Qualcomm Snapdragon 636 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,10831,11999,Low Mid Range,4.5,High Rating
"Redmi Note 6 Pro (Red, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,Qualcomm Snapdragon 636 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,53615,13885,Low Mid Range,4.5,High Rating
"Redmi Note 6 Pro (Blue, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,Qualcomm Snapdragon 636 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,53615,13760,Low Mid Range,4.5,High Rating
"Redmi Note 6 Pro (Black, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,Qualcomm Snapdragon 636 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,10831,17998,Low Mid Range,4.5,High Rating
"POCO F1 (Steel Blue, 256 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3102,22999,Low Mid Range,4.5,High Rating
"POCO F1 (Armoured Edition, 256 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3102,22999,Low Mid Range,4.5,High Rating
"Redmi Note 5 Pro (Gold, 64 GB)",4000 mAh Li Polymer Battery,12MP + 5MP | 20MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,Qualcomm Snapdragon 636 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,123821,12999,Low Mid Range,4.5,High Rating
"POCO F1 (Graphite Black, 256 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3102,22999,Low Mid Range,4.5,High Rating
"POCO F1 (Armoured Edition, 128 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,29900,18999,Low Mid Range,4.5,High Rating
"POCO F1 (Steel Blue, 128 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,29900,18999,Low Mid Range,4.5,High Rating
"POCO F1 (Graphite Black, 128 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,29900,18999,Low Mid Range,4.5,High Rating
"POCO F1 (Rosso Red, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,29900,19999,Low Mid Range,4.5,High Rating
"POCO F1 (Steel Blue, 64 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,29900,19999,Low Mid Range,4.5,High Rating
"POCO F1 (Rosso Red, 128 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,29900,18999,Low Mid Range,4.5,High Rating
"POCO F1 (Rosso Red, 256 GB)",4000 mAh Li-polymer Battery,12MP + 5MP | 20MP Front Camera,15.7 cm (6.18 inch) Full HD+ Display,Qualcomm Snapdragon 845 Processor,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3102,22999,Low Mid Range,4.5,High Rating
"Redmi 6 Pro (Red, 32 GB)",4000 mAh Battery,12MP + 5MP | 5MP Front Camera,14.83 cm (5.84 inch) Full HD+ Display,Qualcomm Snapdragon 625 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,796,11350,Low Mid Range,4.3,High Rating
"Redmi 6 Pro (Lake Blue, 32 GB)",4000 mAh Battery,12MP + 5MP | 5MP Front Camera,14.83 cm (5.84 inch) Full HD+ Display,Qualcomm Snapdragon 625 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,796,8190,Low Range,4.3,High Rating
"Redmi 6 (Black, 32 GB)",3000 mAh Lithium-polymer Battery,12MP + 5MP | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,2.0 GHz Mediatek P22 Octacore Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,40585,6800,Low Range,4.4,High Rating
"Redmi 6 (Rose Gold, 64 GB)",3000 mAh Lithium-polymer Battery,12MP + 5MP | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,2.0 GHz Mediatek P22 Octacore Processor,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,40585,7290,Low Range,4.4,High Rating
